,title,year,link,rating,votes,genre,runtime
212,"Sunset Limited, Southern Pacific Ry.",1898,/title/tt0221601/,4.3,75,"Documentary, Short",2 min
213,Пожар на Биби-Эйбате,1898,/title/tt1440131/,6.1,110,"Documentary, Short",1 min
214,"Military Camp at Tampa, Taken from Train",1898,/title/tt0229583/,4.3,59,"Documentary, Short",
215,Horicky pasijovy film,1897,/title/tt1885273/,,,"Documentary, Short",20 min
216,Photographe,1895,/title/tt0222271/,5.8,347,"Documentary, Short, Comedy",1 min
217,Площадь Корделье в Лионе,1895,/title/tt0000027/,5.6,820,"Documentary, Short",1 min
218,Les chutes,1897,/title/tt0000162/,5.5,357,"Documentary, Short",1 min
219,Football,1897,/title/tt0350952/,5.5,213,"Documentary, Short, Sport",1 min
220,Встреча военного совета в Ренне,1899,/title/tt0224790/,4.9,160,Short,2 min
221,Билли Эдвардс и неизвестный,1895,/title/tt0477266/,4.6,225,"Short, Sport",1 min
222,Choque de dos transatlánticos,1899,/title/tt0000233/,,,"Short, Animation",2 min
223,Masque diabolique G. Méliès,1898,/title/tt0223710/,6.8,13,Short,
224,The Vanishing Lady,1897,/title/tt0230932/,5.8,143,Short,
225,Cinderella,1898,/title/tt0000181/,7.4,29,"Short, Fantasy",
226,Fregoli trasformista,1898,/title/tt0336467/,5.8,15,Short,2 min
227,"Football Match, Crystal Palace",1898,/title/tt2198266/,,,"Documentary, Short, Sport",
228,"Бушующее море, вызвавшее наводнение в Дувре",1895,/title/tt0000030/,5.3,626,"Documentary, Short",1 min
229,"Admiral Dewey Leading Land Parade, No. 2",1899,/title/tt0257364/,4.4,125,"Short, News",4 min
230,Concert,1896,/title/tt1663890/,4.7,70,Short,1 min
231,"Cock Fight, No. 2",1894,/title/tt0243186/,4.3,324,Short,1 min
232,Тост Рипа,1896,/title/tt0000111/,4.5,401,"Drama, Short",1 min
233,Rabbits,1893,/title/tt8742754/,3.7,13,"Documentary, Short",1 min
234,Can Can,1898,/title/tt0219574/,5.9,20,,
235,"New York Police Parade, June 1st, 1899",1899,/title/tt0247575/,4.5,66,"Documentary, Short",3 min
236,Buffalo Stockyards,1897,/title/tt0217296/,4.4,69,"Documentary, Short",2 min
237,Dancing Darkies,1896,/title/tt0000060/,7.8,59,"Documentary, Short",
238,"Sauvetage en rivière, 2e",1896,/title/tt0000120/,5.8,24,"Documentary, Short",
239,Girls Swinging,1897,/title/tt0216774/,4.0,34,Short,
240,"Луи Мартинетти, человек-змея",1894,/title/tt0277115/,5.7,509,Short,1 min
241,The Ball Game,1898,/title/tt0000038/,4.3,129,"Documentary, Short, Sport",
242,Voitures automobiles,1896,/title/tt1649437/,5.6,60,"Documentary, Short",1 min
243,Chicago défilé de policemen,1897,/title/tt0229299/,5.2,419,"Documentary, Short",1 min
244,Baby's Bath,I) (1899,/title/tt0250233/,,,Short,
245,Floral Parade of Lady Cyclists,1899,/title/tt2217524/,5.9,10,"Documentary, Short",2 min
246,Karina,1898,/title/tt2159552/,4.5,17,Short,
247,Love and War,1899,/title/tt0230471/,5.0,83,"Short, Drama, War",2 min
248,Хадж шериф,1894,/title/tt0325518/,5.0,376,Short,1 min
249,Slagsmål i gamla Stockholm,1897,/title/tt0000169/,4.6,11,Short,1 min
250,Slagsmål i gamla Stockholm,1897,/title/tt0000169/,4.6,11,Short,1 min
251,A Wringing Good Joke,1899,/title/tt0243669/,5.5,131,"Short, Comedy",1 min
252,Bombardment of Matanzas,1898,/title/tt0229265/,3.2,13,,
253,Кайседо (с шестом),1894,/title/tt0241282/,6.2,601,Short,1 min
254,Le pêcheur dans le torrent,1897,/title/tt0000164/,5.2,199,"Short, Comedy",1 min
255,Duel au pistolet,1896,/title/tt0350855/,6.0,183,"Short, Crime, Drama",1 min
256,The Oxford and Cambridge University Boat Race,1895,/title/tt0000025/,4.6,21,"Short, News, Sport",
257,Arroseur et arrosé,1896,/title/tt1184937/,6.3,471,"Short, Comedy",1 min
258,Sirdar's Reception at Guildhall,1898,/title/tt1321479/,5.0,61,"Documentary, Short",2 min
259,Battle of San Juan Hill,II) (1898,/title/tt0219534/,,,"Short, War",
260,Woman Opening Umbrella,1887,/title/tt7796044/,5.4,19,Short,
261,"Amateur Gymnast, No. 2",1894,/title/tt0229209/,4.9,28,"Documentary, Short, Sport",
262,Отъезд из Иерусалима по железной дороге,1897,/title/tt0000089/,6.3,734,"Documentary, Short",1 min
263,Little Mischief,1898,/title/tt0285296/,4.4,97,"Short, Comedy",
264,Les métamorphoses de Satan,1898,/title/tt6972358/,5.3,7,Short,
265,Indian Scalping Scene,1895,/title/tt2158549/,4.9,7,"Short, Drama",
266,Репетиция,1894,/title/tt0229231/,4.3,389,"Short, Comedy",1 min
267,The Cavalier's Dream,1898,/title/tt0000178/,5.5,58,"Short, Horror",1 min
268,Prinsengracht,1899,/title/tt1732154/,5.4,36,Short,2 min
269,Up the River,1896,/title/tt0202048/,4.9,85,"Short, Drama",1 min
270,Остров дьявола,1899,/title/tt0226710/,5.1,171,Short,1 min
271,Land at Low Tide,1896,/title/tt2221725/,,,"Documentary, Short",
272,Woman Throwing Baseball,1887,/title/tt7986246/,5.3,28,"Animation, Short",
273,View from an Engine Front: Barnstaple,1898,/title/tt6382208/,5.4,24,"Documentary, Short",2 min
274,Серпантин,1895,/title/tt0000032/,5.2,303,Short,1 min
275,Бой Леонарда против Кушинга,1894,/title/tt0203646/,5.1,327,"Documentary, Short, Sport",1 min
276,"New York, Broadway",1897,/title/tt3186740/,6.2,90,Short,1 min
277,A Favourite Nursery Scene,1898,/title/tt0295253/,5.7,62,"Short, Comedy",2 min
278,Baignade de nègres,1896,/title/tt1653998/,5.0,70,"Documentary, Short",1 min
279,Leçons de boxe,1898,/title/tt0000205/,6.1,14,"Short, Comedy, Sport",1 min
280,Man Taking Off His Boater,1887,/title/tt8008996/,5.0,20,"Animation, Short",
281,Бой петухов,1894,/title/tt0240423/,4.4,459,"Documentary, Short",1 min
282,Беговые состязания в мешках,1896,/title/tt0221888/,6.0,349,"Documentary, Short",1 min
283,La petite fille et son chat,1899,/title/tt1167665/,6.1,408,"Documentary, Short",1 min
284,The Dancing Skeleton,1897,/title/tt0218133/,6.2,86,"Short, Comedy, Horror",1 min
285,Untitled Kinetoscope Comedy,1895,/title/tt1162138/,4.8,29,Short,
286,Je vous aime,1891,/title/tt3201916/,5.1,215,Short,1 min
287,Рип переходит через холм,1896,/title/tt0000110/,4.5,392,"Short, Fantasy",1 min
288,Masked Procession,1898,/title/tt0221384/,3.6,19,,
289,"Sauvetage en rivière, 1er",1896,/title/tt0000119/,6.1,19,"Documentary, Short",
290,Palm Beach Daily News,1897– ,/title/tt5987568/,,,News,
291,"Saint-Pétersbourg, Rue Tverskaïa",1896,/title/tt1672755/,5.4,183,"Documentary, Short",1 min
292,Загадочный портрет,1899,/title/tt0223946/,6.0,375,Short,1 min
